Date,Stock,GapSize,market_cap,OpenPrice,OpenUnadjusted,PreVolume,PreHigh,PreBreakTime,RVOL10D,GapSizeRel,$volume,MaxChange,Day1,Day2,Overnight,2Day,Day1Trade,Day2Trade,OvernightTrade,2DayTrade,Day1TradeCum,Day2TradeCum,OvernightTradeCum,2DayTradeCum
2020-04-13,NCSM,42.84949116229244,1785280.5,16.002,0.8001,1508.25,21.6,,2.782493368700265,5.996401399039401,5431023.365999999,4.974378202724661,0.06261717285339326,0.03762029746281717,-0.06249218847644045,0.03774528183976998,0.005761717285339326,0.0032620297462817175,-0.006749218847644046,0.0032745281839769986,11.947185270113906,5.71931997136343,-3.3434880821136477,17.61201715936375
2020-04-13,ICD,52.96000000000001,123650275.28999999,9.56,9.56,1286108.0,9.75,09:50:00,5.2447137501525045,6.360217543674218,334803625.975,50.52301255230125,-0.35251046025104593,0.19351464435146457,0.030334728033472712,-0.12866108786610864,-0.035751046025104594,0.01885146443514646,0.0025334728033472712,-0.013366108786610865,11.9114342240888,5.738171435798576,-3.3409546093103004,17.59865105057714
2020-04-14,MIND,18.902100233359253,12508263.8424,1.07,1.07,0.0,,,1.213686290339714,3.067928764511904,56501.45935,0.0,0.1513084112149533,0.1777570093457943,-0.27280373831775695,0.056261682242990683,0.014630841121495331,0.01727570093457943,-0.027780373831775697,0.005126168224299069,11.926065065210295,5.755447136733156,-3.368734983142076,17.603777218801437
2020-04-14,ARTL,19.047619047619047,58375397.94,1.25,1.25,13097.0,1.4,12:58:00,9.182867753191498,1.7278857577803424,3096243.77,58.400000000000006,-0.10399999999999991,0.0,0.16799999999999998,0.06400000000000006,-0.010899999999999993,-0.0005,0.0163,0.005900000000000006,11.915165065210296,5.754947136733156,-3.352434983142076,17.609677218801437
2020-04-14,BLPH,19.64735516372795,123203190.24000001,14.25,14.25,69957.0,14.6,,1.6329801003406321,2.405042262520934,12435867.93,0.280701754385948,0.09052631578947362,0.007017543859649098,0.018947368421052727,0.11649122807017545,0.008552631578947362,0.00020175438596490978,0.0013947368421052726,0.011149122807017546,11.923717696789243,5.755148891119121,-3.3510402462999704,17.620826341608456
2020-04-14,AIKI,213.43283582089555,73511635.3762,2.1,2.1,7155513.0,2.27,09:35:00,8.175806443924968,23.172758517302412,131711347.28185001,30.476190476190478,0.6096666666666667,0.021428571428571446,-0.04776190476190478,0.5833333333333334,0.06046666666666667,0.0016428571428571447,-0.005276190476190479,0.05783333333333334,11.98418436345591,5.756791748261978,-3.356316436776161,17.67865967494179
2020-04-14,MEIP,83.23353293413174,332115530.0,3.06,3.06,3150556.0,3.3,09:31:00,8.685443247333119,13.144499300882933,131251136.42000002,18.954248366013072,0.18300653594771243,-0.009803921568627387,0.04248366013071892,0.21568627450980396,0.017800653594771242,-0.0014803921568627386,0.0037483660130718925,0.0210686274509804,12.00198501705068,5.755311356105116,-3.3525680707630894,17.69972830239277
2020-04-14,NTWK,17.551020408163254,27998902.110000003,2.88,2.88,0.0,,,3.003628614214952,3.5725986694226197,140020.065,0.565972222222233,0.13541666666666657,0.05555555555555561,0.024305555555555657,0.21527777777777782,0.013041666666666658,0.005055555555555561,0.0019305555555555656,0.021027777777777784,12.015026683717347,5.760366911660672,-3.350637515207534,17.72075608017055
2020-04-14,TLSA,19.480519480519476,325975582.40000004,1.472,3.68,734772.5,1.84,,0.9664638978925467,1.9993450084227478,1524226.3220000002,0.5434782608695565,0.08967391304347819,0.09510869565217385,-0.040760869565217274,0.14402173913043476,0.008467391304347819,0.009010869565217385,-0.004576086956521727,0.013902173913043476,12.023494075021695,5.769377781225889,-3.3552136021640555,17.73465825408359
2020-04-14,NBEV,15.384615384615374,239304775.98,1.5,1.5,281734.0,1.6587,10:03:00,3.4612272879275814,2.0004084581922275,13016951.665,25.333333333333318,-0.0866666666666666,0.020000000000000018,-0.03333333333333336,-0.09999999999999994,-0.009166666666666662,0.0015000000000000018,-0.003833333333333336,-0.010499999999999995,12.014327408355028,5.770877781225889,-3.3590469354973886,17.72415825408359
